Step,Sequence,Sum,Choices
4083,"[ 1 -7 21 -35 35 0 7 -1 ]",21,"+ - + - + 0 + - "
4176,"[ 1 -7 -21 0 35 21 -7 -1 ]",21,"+ - - 0 + + - - "
4230,"[ 1 -7 -21 35 0 21 -7 -1 ]",21,"+ - - + 0 + - - "
4260,"[ 1 -7 -21 35 35 -21 0 -1 ]",21,"+ - - + + - 0 - "
4385,"[ -1 0 0 0 0 21 0 1 ]",21,"- 0 0 0 0 + 0 + "
4424,"[ -1 0 0 0 35 -21 7 1 ]",21,"- 0 0 0 + - + + "
4478,"[ -1 0 0 35 0 -21 7 1 ]",21,"- 0 0 + 0 - + + "
4520,"[ -1 0 0 35 -35 21 0 1 ]",21,"- 0 0 + - + 0 + "
4574,"[ -1 0 0 -35 35 21 0 1 ]",21,"- 0 0 - + + 0 + "
4619,"[ -1 0 21 0 0 0 0 1 ]",21,"- 0 + 0 0 0 0 + "
4754,"[ -1 0 21 35 -35 0 0 1 ]",21,"- 0 + + - 0 0 + "
4808,"[ -1 0 21 -35 35 0 0 1 ]",21,"- 0 + - + 0 0 + "
4892,"[ -1 0 -21 0 35 0 7 1 ]",21,"- 0 - 0 + 0 + + "
4946,"[ -1 0 -21 35 0 0 7 1 ]",21,"- 0 - + 0 0 + + "
4994,"[ -1 0 -21 35 35 -21 -7 1 ]",21,"- 0 - + + - - + "
5120,"[ -1 7 0 0 0 21 -7 1 ]",21,"- + 0 0 0 + - + "
5150,"[ -1 7 0 0 35 -21 0 1 ]",21,"- + 0 0 + - 0 + "
5204,"[ -1 7 0 35 0 -21 0 1 ]",21,"- + 0 + 0 - 0 + "
5255,"[ -1 7 0 35 -35 21 -7 1 ]",21,"- + 0 + - + - + "
5309,"[ -1 7 0 -35 35 21 -7 1 ]",21,"- + 0 - + + - + "
5354,"[ -1 7 21 0 0 0 -7 1 ]",21,"- + + 0 0 0 - + "
5414,"[ -1 7 21 0 -35 21 7 1 ]",21,"- + + 0 - + + + "
5489,"[ -1 7 21 35 -35 0 -7 1 ]",21,"- + + + - 0 - + "
5522,"[ -1 7 21 -35 0 21 7 1 ]",21,"- + + - 0 + + + "
5543,"[ -1 7 21 -35 35 0 -7 1 ]",21,"- + + - + 0 - + "
5618,"[ -1 7 -21 0 35 0 0 1 ]",21,"- + - 0 + 0 0 + "
5672,"[ -1 7 -21 35 0 0 0 1 ]",21,"- + - + 0 0 0 + "
5846,"[ -1 -7 0 0 0 21 7 1 ]",21,"- - 0 0 0 + + + "
5867,"[ -1 -7 0 0 35 0 -7 1 ]",21,"- - 0 0 + 0 - + "
5921,"[ -1 -7 0 35 0 0 -7 1 ]",21,"- - 0 + 0 0 - + "
5981,"[ -1 -7 0 35 -35 21 7 1 ]",21,"- - 0 + - + + + "
6035,"[ -1 -7 0 -35 35 21 7 1 ]",21,"- - 0 - + + + + "
6080,"[ -1 -7 21 0 0 0 7 1 ]",21,"- - + 0 0 0 + + "
6128,"[ -1 -7 21 0 35 -21 -7 1 ]",21,"- - + 0 + - - + "
6182,"[ -1 -7 21 35 0 -21 -7 1 ]",21,"- - + + 0 - - + "
6215,"[ -1 -7 21 35 -35 0 7 1 ]",21,"- - + + - 0 + + "
6269,"[ -1 -7 21 -35 35 0 7 1 ]",21,"- - + - + 0 + + "
6362,"[ -1 -7 -21 0 35 21 -7 1 ]",21,"- - - 0 + + - + "
6416,"[ -1 -7 -21 35 0 21 -7 1 ]",21,"- - - + 0 + - + "
6446,"[ -1 -7 -21 35 35 -21 0 1 ]",21,"- - - + + - 0 + "
