Step,Sequence,Sum,Choices
8647,"[ 1 -8 0 0 70 0 -28 0 -1 ]",34,"+ - 0 0 + 0 - 0 - "
11062,"[ 1 0 -28 -56 70 56 0 -8 -1 ]",34,"+ 0 - - + + 0 - - "
11215,"[ 1 0 -28 56 -70 56 28 -8 -1 ]",34,"+ 0 - + - + + - - "
11278,"[ 1 0 -28 56 70 -56 0 -8 -1 ]",34,"+ 0 - + + - 0 - - "
11575,"[ 1 0 -28 0 70 0 0 -8 -1 ]",34,"+ 0 - 0 + 0 0 - - "
11818,"[ 1 0 28 -56 70 0 0 -8 -1 ]",34,"+ 0 + - + 0 0 - - "
11935,"[ 1 0 28 56 -70 56 -28 -8 -1 ]",34,"+ 0 + + - + - - - "
11971,"[ 1 0 28 56 -70 0 28 -8 -1 ]",34,"+ 0 + + - 0 + - - "
12187,"[ 1 0 28 0 -70 56 28 -8 -1 ]",34,"+ 0 + 0 - + + - - "
12250,"[ 1 0 28 0 70 -56 0 -8 -1 ]",34,"+ 0 + 0 + - 0 - - "
12502,"[ 1 0 0 -56 70 56 -28 -8 -1 ]",34,"+ 0 0 - + + - - - "
12538,"[ 1 0 0 -56 70 0 28 -8 -1 ]",34,"+ 0 0 - + 0 + - - "
12682,"[ 1 0 0 56 -70 56 0 -8 -1 ]",34,"+ 0 0 + - + 0 - - "
12718,"[ 1 0 0 56 70 -56 -28 -8 -1 ]",34,"+ 0 0 + + - - - - "
12970,"[ 1 0 0 0 70 -56 28 -8 -1 ]",34,"+ 0 0 0 + - + - - "
13015,"[ 1 0 0 0 70 0 -28 -8 -1 ]",34,"+ 0 0 0 + 0 - - - "
13257,"[ 0 -8 -28 -56 70 56 0 0 0 ]",34,"0 - - - + + 0 0 0 "
13410,"[ 0 -8 -28 56 -70 56 28 0 0 ]",34,"0 - - + - + + 0 0 "
13473,"[ 0 -8 -28 56 70 -56 0 0 0 ]",34,"0 - - + + - 0 0 0 "
13770,"[ 0 -8 -28 0 70 0 0 0 0 ]",34,"0 - - 0 + 0 0 0 0 "
14013,"[ 0 -8 28 -56 70 0 0 0 0 ]",34,"0 - + - + 0 0 0 0 "
14130,"[ 0 -8 28 56 -70 56 -28 0 0 ]",34,"0 - + + - + - 0 0 "
14166,"[ 0 -8 28 56 -70 0 28 0 0 ]",34,"0 - + + - 0 + 0 0 "
14382,"[ 0 -8 28 0 -70 56 28 0 0 ]",34,"0 - + 0 - + + 0 0 "
14445,"[ 0 -8 28 0 70 -56 0 0 0 ]",34,"0 - + 0 + - 0 0 0 "
14697,"[ 0 -8 0 -56 70 56 -28 0 0 ]",34,"0 - 0 - + + - 0 0 "
14733,"[ 0 -8 0 -56 70 0 28 0 0 ]",34,"0 - 0 - + 0 + 0 0 "
14877,"[ 0 -8 0 56 -70 56 0 0 0 ]",34,"0 - 0 + - + 0 0 0 "
14913,"[ 0 -8 0 56 70 -56 -28 0 0 ]",34,"0 - 0 + + - - 0 0 "
15165,"[ 0 -8 0 0 70 -56 28 0 0 ]",34,"0 - 0 0 + - + 0 0 "
15210,"[ 0 -8 0 0 70 0 -28 0 0 ]",34,"0 - 0 0 + 0 - 0 0 "
17625,"[ 0 0 -28 -56 70 56 0 -8 0 ]",34,"0 0 - - + + 0 - 0 "
17778,"[ 0 0 -28 56 -70 56 28 -8 0 ]",34,"0 0 - + - + + - 0 "
17841,"[ 0 0 -28 56 70 -56 0 -8 0 ]",34,"0 0 - + + - 0 - 0 "
18138,"[ 0 0 -28 0 70 0 0 -8 0 ]",34,"0 0 - 0 + 0 0 - 0 "
18381,"[ 0 0 28 -56 70 0 0 -8 0 ]",34,"0 0 + - + 0 0 - 0 "
18498,"[ 0 0 28 56 -70 56 -28 -8 0 ]",34,"0 0 + + - + - - 0 "
18534,"[ 0 0 28 56 -70 0 28 -8 0 ]",34,"0 0 + + - 0 + - 0 "
18750,"[ 0 0 28 0 -70 56 28 -8 0 ]",34,"0 0 + 0 - + + - 0 "
18813,"[ 0 0 28 0 70 -56 0 -8 0 ]",34,"0 0 + 0 + - 0 - 0 "
19065,"[ 0 0 0 -56 70 56 -28 -8 0 ]",34,"0 0 0 - + + - - 0 "
19101,"[ 0 0 0 -56 70 0 28 -8 0 ]",34,"0 0 0 - + 0 + - 0 "
19245,"[ 0 0 0 56 -70 56 0 -8 0 ]",34,"0 0 0 + - + 0 - 0 "
19281,"[ 0 0 0 56 70 -56 -28 -8 0 ]",34,"0 0 0 + + - - - 0 "
19533,"[ 0 0 0 0 70 -56 28 -8 0 ]",34,"0 0 0 0 + - + - 0 "
19578,"[ 0 0 0 0 70 0 -28 -8 0 ]",34,"0 0 0 0 + 0 - - 0 "
