Step,Sequence,Sum,Choices
11713,"[ -1 0 -28 56 70 -56 0 -8 1 ]",34,"- 0 - + + - 0 - + "
11749,"[ -1 0 -28 56 -70 56 28 -8 1 ]",34,"- 0 - + - + + - + "
11900,"[ -1 0 -28 56 0 0 0 8 -1 ]",34,"- 0 - + 0 0 0 + - "
11929,"[ -1 0 -28 -56 70 56 0 -8 1 ]",34,"- 0 - - + + 0 - + "
12226,"[ -1 0 -28 0 70 0 0 -8 1 ]",34,"- 0 - 0 + 0 0 - + "
12332,"[ -1 0 -28 0 0 56 0 8 -1 ]",34,"- 0 - 0 0 + 0 + - "
12433,"[ -1 0 0 56 70 -56 -28 -8 1 ]",34,"- 0 0 + + - - - + "
12496,"[ -1 0 0 56 -70 56 0 -8 1 ]",34,"- 0 0 + - + 0 - + "
12584,"[ -1 0 0 56 0 -56 28 8 -1 ]",34,"- 0 0 + 0 - + + - "
12620,"[ -1 0 0 56 0 0 -28 8 -1 ]",34,"- 0 0 + 0 0 - + - "
12649,"[ -1 0 0 -56 70 56 -28 -8 1 ]",34,"- 0 0 - + + - - + "
12694,"[ -1 0 0 -56 70 0 28 -8 1 ]",34,"- 0 0 - + 0 + - + "
12800,"[ -1 0 0 -56 0 56 28 8 -1 ]",34,"- 0 0 - 0 + + + - "
12910,"[ -1 0 0 0 70 -56 28 -8 1 ]",34,"- 0 0 0 + - + - + "
12946,"[ -1 0 0 0 70 0 -28 -8 1 ]",34,"- 0 0 0 + 0 - - + "
13052,"[ -1 0 0 0 0 56 -28 8 -1 ]",34,"- 0 0 0 0 + - + - "
13097,"[ -1 0 0 0 0 0 28 8 -1 ]",34,"- 0 0 0 0 0 + + - "
15408,"[ 0 -8 28 56 -70 56 -28 0 0 ]",34,"0 - + + - + - 0 0 "
15453,"[ 0 -8 28 56 -70 0 28 0 0 ]",34,"0 - + + - 0 + 0 0 "
15633,"[ 0 -8 28 -56 70 0 0 0 0 ]",34,"0 - + - + 0 0 0 0 "
15849,"[ 0 -8 28 0 70 -56 0 0 0 ]",34,"0 - + 0 + - 0 0 0 "
15885,"[ 0 -8 28 0 -70 56 28 0 0 ]",34,"0 - + 0 - + + 0 0 "
16092,"[ 0 -8 -28 56 70 -56 0 0 0 ]",34,"0 - - + + - 0 0 0 "
16128,"[ 0 -8 -28 56 -70 56 28 0 0 ]",34,"0 - - + - + + 0 0 "
16308,"[ 0 -8 -28 -56 70 56 0 0 0 ]",34,"0 - - - + + 0 0 0 "
16605,"[ 0 -8 -28 0 70 0 0 0 0 ]",34,"0 - - 0 + 0 0 0 0 "
16812,"[ 0 -8 0 56 70 -56 -28 0 0 ]",34,"0 - 0 + + - - 0 0 "
