Step,Sequence,Sum,Choices
4250,"[ 0 7 21 0 0 0 -7 0 ]",21,"0 + + 0 0 0 - 0 "
4304,"[ 0 7 21 35 -35 0 -7 0 ]",21,"0 + + + - 0 - 0 "
4528,"[ 1 -7 -21 0 35 21 -7 -1 ]",21,"+ - - 0 + + - - "
4582,"[ 1 -7 -21 35 0 21 -7 -1 ]",21,"+ - - + 0 + - - "
4594,"[ 1 -7 -21 35 35 -21 0 -1 ]",21,"+ - - + + - 0 - "
4696,"[ 1 -7 0 -35 35 21 7 -1 ]",21,"+ - 0 - + + + - "
4750,"[ 1 -7 0 0 0 21 7 -1 ]",21,"+ - 0 0 0 + + - "
4762,"[ 1 -7 0 0 35 0 -7 -1 ]",21,"+ - 0 0 + 0 - - "
4804,"[ 1 -7 0 35 -35 21 7 -1 ]",21,"+ - 0 + - + + - "
4816,"[ 1 -7 0 35 0 0 -7 -1 ]",21,"+ - 0 + 0 0 - - "
4930,"[ 1 -7 21 -35 35 0 7 -1 ]",21,"+ - + - + 0 + - "
4984,"[ 1 -7 21 0 0 0 7 -1 ]",21,"+ - + 0 0 0 + - "
4996,"[ 1 -7 21 0 35 -21 -7 -1 ]",21,"+ - + 0 + - - - "
5038,"[ 1 -7 21 35 -35 0 7 -1 ]",21,"+ - + + - 0 + - "
5050,"[ 1 -7 21 35 0 -21 -7 -1 ]",21,"+ - + + 0 - - - "
5254,"[ 1 0 -21 0 35 0 7 -1 ]",21,"+ 0 - 0 + 0 + - "
5308,"[ 1 0 -21 35 0 0 7 -1 ]",21,"+ 0 - + 0 0 + - "
5320,"[ 1 0 -21 35 35 -21 -7 -1 ]",21,"+ 0 - + + - - - "
5422,"[ 1 0 0 -35 35 21 0 -1 ]",21,"+ 0 0 - + + 0 - "
5476,"[ 1 0 0 0 0 21 0 -1 ]",21,"+ 0 0 0 0 + 0 - "
5488,"[ 1 0 0 0 35 -21 7 -1 ]",21,"+ 0 0 0 + - + - "
5530,"[ 1 0 0 35 -35 21 0 -1 ]",21,"+ 0 0 + - + 0 - "
5542,"[ 1 0 0 35 0 -21 7 -1 ]",21,"+ 0 0 + 0 - + - "
