Step,Sequence,Combination Value
139,"[ 0 4 -6 0 -1 ]",-3
140,"[ 0 4 -6 0 0 ]",-2
141,"[ 0 4 -6 0 1 ]",-1
142,"[ 0 4 -6 4 -1 ]",1
143,"[ 0 4 -6 4 0 ]",2
144,"[ 0 4 -6 4 1 ]",3
145,"[ 0 4 0 -4 -1 ]",-1
146,"[ 0 4 0 -4 0 ]",0
147,"[ 0 4 0 -4 1 ]",1
148,"[ 0 4 0 0 -1 ]",3
149,"[ 0 4 0 0 0 ]",4
150,"[ 0 4 0 0 1 ]",5
151,"[ 0 4 0 4 -1 ]",7
152,"[ 0 4 0 4 0 ]",8
153,"[ 0 4 0 4 1 ]",9
154,"[ 0 4 6 -4 -1 ]",5
155,"[ 0 4 6 -4 0 ]",6
156,"[ 0 4 6 -4 1 ]",7
157,"[ 0 4 6 0 -1 ]",9
158,"[ 0 4 6 0 0 ]",10
159,"[ 0 4 6 0 1 ]",11
160,"[ 0 4 6 4 -1 ]",13
161,"[ 0 4 6 4 0 ]",14
162,"[ 0 4 6 4 1 ]",15
163,"[ 1 -4 -6 -4 -1 ]",-14
164,"[ 1 -4 -6 -4 0 ]",-13
165,"[ 1 -4 -6 -4 1 ]",-12
166,"[ 1 -4 -6 0 -1 ]",-10
167,"[ 1 -4 -6 0 0 ]",-9
168,"[ 1 -4 -6 0 1 ]",-8
169,"[ 1 -4 -6 4 -1 ]",-6
170,"[ 1 -4 -6 4 0 ]",-5
171,"[ 1 -4 -6 4 1 ]",-4
172,"[ 1 -4 0 -4 -1 ]",-8
173,"[ 1 -4 0 -4 0 ]",-7
174,"[ 1 -4 0 -4 1 ]",-6
175,"[ 1 -4 0 0 -1 ]",-4
176,"[ 1 -4 0 0 0 ]",-3
177,"[ 1 -4 0 0 1 ]",-2
178,"[ 1 -4 0 4 -1 ]",0
179,"[ 1 -4 0 4 0 ]",1
180,"[ 1 -4 0 4 1 ]",2
181,"[ 1 -4 6 -4 -1 ]",-2
182,"[ 1 -4 6 -4 0 ]",-1
183,"[ 1 -4 6 -4 1 ]",0
184,"[ 1 -4 6 0 -1 ]",2
185,"[ 1 -4 6 0 0 ]",3
186,"[ 1 -4 6 0 1 ]",4
187,"[ 1 -4 6 4 -1 ]",6
188,"[ 1 -4 6 4 0 ]",7
189,"[ 1 -4 6 4 1 ]",8
190,"[ 1 0 -6 -4 -1 ]",-10
191,"[ 1 0 -6 -4 0 ]",-9
192,"[ 1 0 -6 -4 1 ]",-8
193,"[ 1 0 -6 0 -1 ]",-6
194,"[ 1 0 -6 0 0 ]",-5
195,"[ 1 0 -6 0 1 ]",-4
196,"[ 1 0 -6 4 -1 ]",-2
197,"[ 1 0 -6 4 0 ]",-1
198,"[ 1 0 -6 4 1 ]",0
199,"[ 1 0 0 -4 -1 ]",-4
200,"[ 1 0 0 -4 0 ]",-3
201,"[ 1 0 0 -4 1 ]",-2
202,"[ 1 0 0 0 -1 ]",0
203,"[ 1 0 0 0 0 ]",1
204,"[ 1 0 0 0 1 ]",2
205,"[ 1 0 0 4 -1 ]",4
206,"[ 1 0 0 4 0 ]",5
207,"[ 1 0 0 4 1 ]",6
208,"[ 1 0 6 -4 -1 ]",2
209,"[ 1 0 6 -4 0 ]",3
210,"[ 1 0 6 -4 1 ]",4
211,"[ 1 0 6 0 -1 ]",6
212,"[ 1 0 6 0 0 ]",7
213,"[ 1 0 6 0 1 ]",8
214,"[ 1 0 6 4 -1 ]",10
215,"[ 1 0 6 4 0 ]",11
216,"[ 1 0 6 4 1 ]",12
217,"[ 1 4 -6 -4 -1 ]",-6
218,"[ 1 4 -6 -4 0 ]",-5
219,"[ 1 4 -6 -4 1 ]",-4
220,"[ 1 4 -6 0 -1 ]",-2
221,"[ 1 4 -6 0 0 ]",-1
222,"[ 1 4 -6 0 1 ]",0
223,"[ 1 4 -6 4 -1 ]",2
224,"[ 1 4 -6 4 0 ]",3
225,"[ 1 4 -6 4 1 ]",4
226,"[ 1 4 0 -4 -1 ]",0
227,"[ 1 4 0 -4 0 ]",1
228,"[ 1 4 0 -4 1 ]",2
229,"[ 1 4 0 0 -1 ]",4
230,"[ 1 4 0 0 0 ]",5
231,"[ 1 4 0 0 1 ]",6
232,"[ 1 4 0 4 -1 ]",8
233,"[ 1 4 0 4 0 ]",9
234,"[ 1 4 0 4 1 ]",10
235,"[ 1 4 6 -4 -1 ]",6
236,"[ 1 4 6 -4 0 ]",7
237,"[ 1 4 6 -4 1 ]",8
238,"[ 1 4 6 0 -1 ]",10
239,"[ 1 4 6 0 0 ]",11
240,"[ 1 4 6 0 1 ]",12
241,"[ 1 4 6 4 -1 ]",14
242,"[ 1 4 6 4 0 ]",15
243,"[ 1 4 6 4 1 ]",16
