Step,Sequence,Combination Value
1,"[ -1 -2 -1 ]",-4
2,"[ -1 -2 0 ]",-3
3,"[ -1 -2 1 ]",-2
4,"[ -1 0 -1 ]",-2
5,"[ -1 0 0 ]",-1
6,"[ -1 0 1 ]",0
7,"[ -1 2 -1 ]",0
8,"[ -1 2 0 ]",1
9,"[ -1 2 1 ]",2
10,"[ 0 -2 -1 ]",-3
11,"[ 0 -2 0 ]",-2
12,"[ 0 -2 1 ]",-1
13,"[ 0 0 -1 ]",-1
14,"[ 0 0 0 ]",0
15,"[ 0 0 1 ]",1
16,"[ 0 2 -1 ]",1
17,"[ 0 2 0 ]",2
18,"[ 0 2 1 ]",3
19,"[ 1 -2 -1 ]",-2
20,"[ 1 -2 0 ]",-1
21,"[ 1 -2 1 ]",0
22,"[ 1 0 -1 ]",0
23,"[ 1 0 0 ]",1
24,"[ 1 0 1 ]",2
25,"[ 1 2 -1 ]",2
26,"[ 1 2 0 ]",3
27,"[ 1 2 1 ]",4
