Step,Sequence,Combination Value
124,"[ -1 0 0 0 5 -1 ]",3
125,"[ -1 0 0 0 5 0 ]",4
126,"[ -1 0 0 0 5 1 ]",5
127,"[ -1 0 0 10 -5 -1 ]",3
128,"[ -1 0 0 10 -5 0 ]",4
129,"[ -1 0 0 10 -5 1 ]",5
130,"[ -1 0 0 10 0 -1 ]",8
131,"[ -1 0 0 10 0 0 ]",9
132,"[ -1 0 0 10 0 1 ]",10
133,"[ -1 0 0 10 5 -1 ]",13
134,"[ -1 0 0 10 5 0 ]",14
135,"[ -1 0 0 10 5 1 ]",15
136,"[ -1 0 10 -10 -5 -1 ]",-7
137,"[ -1 0 10 -10 -5 0 ]",-6
138,"[ -1 0 10 -10 -5 1 ]",-5
139,"[ -1 0 10 -10 0 -1 ]",-2
140,"[ -1 0 10 -10 0 0 ]",-1
141,"[ -1 0 10 -10 0 1 ]",0
142,"[ -1 0 10 -10 5 -1 ]",3
143,"[ -1 0 10 -10 5 0 ]",4
144,"[ -1 0 10 -10 5 1 ]",5
145,"[ -1 0 10 0 -5 -1 ]",3
146,"[ -1 0 10 0 -5 0 ]",4
147,"[ -1 0 10 0 -5 1 ]",5
148,"[ -1 0 10 0 0 -1 ]",8
149,"[ -1 0 10 0 0 0 ]",9
150,"[ -1 0 10 0 0 1 ]",10
151,"[ -1 0 10 0 5 -1 ]",13
152,"[ -1 0 10 0 5 0 ]",14
153,"[ -1 0 10 0 5 1 ]",15
154,"[ -1 0 10 10 -5 -1 ]",13
155,"[ -1 0 10 10 -5 0 ]",14
156,"[ -1 0 10 10 -5 1 ]",15
157,"[ -1 0 10 10 0 -1 ]",18
158,"[ -1 0 10 10 0 0 ]",19
159,"[ -1 0 10 10 0 1 ]",20
160,"[ -1 0 10 10 5 -1 ]",23
161,"[ -1 0 10 10 5 0 ]",24
162,"[ -1 0 10 10 5 1 ]",25
163,"[ -1 5 -10 -10 -5 -1 ]",-22
164,"[ -1 5 -10 -10 -5 0 ]",-21
165,"[ -1 5 -10 -10 -5 1 ]",-20
166,"[ -1 5 -10 -10 0 -1 ]",-17
167,"[ -1 5 -10 -10 0 0 ]",-16
168,"[ -1 5 -10 -10 0 1 ]",-15
169,"[ -1 5 -10 -10 5 -1 ]",-12
170,"[ -1 5 -10 -10 5 0 ]",-11
171,"[ -1 5 -10 -10 5 1 ]",-10
172,"[ -1 5 -10 0 -5 -1 ]",-12
173,"[ -1 5 -10 0 -5 0 ]",-11
174,"[ -1 5 -10 0 -5 1 ]",-10
175,"[ -1 5 -10 0 0 -1 ]",-7
176,"[ -1 5 -10 0 0 0 ]",-6
177,"[ -1 5 -10 0 0 1 ]",-5
178,"[ -1 5 -10 0 5 -1 ]",-2
179,"[ -1 5 -10 0 5 0 ]",-1
180,"[ -1 5 -10 0 5 1 ]",0
181,"[ -1 5 -10 10 -5 -1 ]",-2
182,"[ -1 5 -10 10 -5 0 ]",-1
183,"[ -1 5 -10 10 -5 1 ]",0
184,"[ -1 5 -10 10 0 -1 ]",3
185,"[ -1 5 -10 10 0 0 ]",4
186,"[ -1 5 -10 10 0 1 ]",5
187,"[ -1 5 -10 10 5 -1 ]",8
188,"[ -1 5 -10 10 5 0 ]",9
189,"[ -1 5 -10 10 5 1 ]",10
190,"[ -1 5 0 -10 -5 -1 ]",-12
191,"[ -1 5 0 -10 -5 0 ]",-11
192,"[ -1 5 0 -10 -5 1 ]",-10
193,"[ -1 5 0 -10 0 -1 ]",-7
194,"[ -1 5 0 -10 0 0 ]",-6
195,"[ -1 5 0 -10 0 1 ]",-5
196,"[ -1 5 0 -10 5 -1 ]",-2
197,"[ -1 5 0 -10 5 0 ]",-1
198,"[ -1 5 0 -10 5 1 ]",0
199,"[ -1 5 0 0 -5 -1 ]",-2
200,"[ -1 5 0 0 -5 0 ]",-1
201,"[ -1 5 0 0 -5 1 ]",0
202,"[ -1 5 0 0 0 -1 ]",3
203,"[ -1 5 0 0 0 0 ]",4
204,"[ -1 5 0 0 0 1 ]",5
205,"[ -1 5 0 0 5 -1 ]",8
206,"[ -1 5 0 0 5 0 ]",9
207,"[ -1 5 0 0 5 1 ]",10
208,"[ -1 5 0 10 -5 -1 ]",8
209,"[ -1 5 0 10 -5 0 ]",9
210,"[ -1 5 0 10 -5 1 ]",10
211,"[ -1 5 0 10 0 -1 ]",13
212,"[ -1 5 0 10 0 0 ]",14
213,"[ -1 5 0 10 0 1 ]",15
214,"[ -1 5 0 10 5 -1 ]",18
215,"[ -1 5 0 10 5 0 ]",19
216,"[ -1 5 0 10 5 1 ]",20
217,"[ -1 5 10 -10 -5 -1 ]",-2
218,"[ -1 5 10 -10 -5 0 ]",-1
219,"[ -1 5 10 -10 -5 1 ]",0
220,"[ -1 5 10 -10 0 -1 ]",3
221,"[ -1 5 10 -10 0 0 ]",4
222,"[ -1 5 10 -10 0 1 ]",5
223,"[ -1 5 10 -10 5 -1 ]",8
224,"[ -1 5 10 -10 5 0 ]",9
225,"[ -1 5 10 -10 5 1 ]",10
226,"[ -1 5 10 0 -5 -1 ]",8
227,"[ -1 5 10 0 -5 0 ]",9
228,"[ -1 5 10 0 -5 1 ]",10
229,"[ -1 5 10 0 0 -1 ]",13
