Step,Sequence,Sum,Choices
36261,"[ 0 9 0 0 126 -126 0 36 9 1 ]",55,"0 + 0 0 + - 0 + + + "
36639,"[ 0 9 0 84 -126 126 -84 36 9 1 ]",55,"0 + 0 + - + - + + + "
36801,"[ 0 9 0 84 0 0 -84 36 9 1 ]",55,"0 + 0 + 0 0 - + + + "
36963,"[ 0 9 0 84 126 -126 -84 36 9 1 ]",55,"0 + 0 + + - - + + + "
37413,"[ 0 9 36 -84 -126 126 84 0 9 1 ]",55,"0 + + - - + + 0 + + "
37575,"[ 0 9 36 -84 0 0 84 0 9 1 ]",55,"0 + + - 0 0 + 0 + + "
37737,"[ 0 9 36 -84 126 -126 84 0 9 1 ]",55,"0 + + - + - + 0 + + "
38115,"[ 0 9 36 0 -126 126 0 0 9 1 ]",55,"0 + + 0 - + 0 0 + + "
38277,"[ 0 9 36 0 0 0 0 0 9 1 ]",55,"0 + + 0 0 0 0 0 + + "
38439,"[ 0 9 36 0 126 -126 0 0 9 1 ]",55,"0 + + 0 + - 0 0 + + "
38817,"[ 0 9 36 84 -126 126 -84 0 9 1 ]",55,"0 + + + - + - 0 + + "
38979,"[ 0 9 36 84 0 0 -84 0 9 1 ]",55,"0 + + + 0 0 - 0 + + "
39141,"[ 0 9 36 84 126 -126 -84 0 9 1 ]",55,"0 + + + + - - 0 + + "
39833,"[ 1 -9 -36 -84 0 126 84 -36 9 0 ]",55,"+ - - - 0 + + - + 0 "
39995,"[ 1 -9 -36 -84 126 0 84 -36 9 0 ]",55,"+ - - - + 0 + - + 0 "
40535,"[ 1 -9 -36 0 0 126 0 -36 9 0 ]",55,"+ - - 0 0 + 0 - + 0 "
40697,"[ 1 -9 -36 0 126 0 0 -36 9 0 ]",55,"+ - - 0 + 0 0 - + 0 "
41237,"[ 1 -9 -36 84 0 126 -84 -36 9 0 ]",55,"+ - - + 0 + - - + 0 "
41399,"[ 1 -9 -36 84 126 0 -84 -36 9 0 ]",55,"+ - - + + 0 - - + 0 "
43976,"[ 1 -9 36 -84 -126 126 84 36 -9 0 ]",55,"+ - + - - + + + - 0 "
44138,"[ 1 -9 36 -84 0 0 84 36 -9 0 ]",55,"+ - + - 0 0 + + - 0 "
44300,"[ 1 -9 36 -84 126 -126 84 36 -9 0 ]",55,"+ - + - + - + + - 0 "
44678,"[ 1 -9 36 0 -126 126 0 36 -9 0 ]",55,"+ - + 0 - + 0 + - 0 "
44840,"[ 1 -9 36 0 0 0 0 36 -9 0 ]",55,"+ - + 0 0 0 0 + - 0 "
45002,"[ 1 -9 36 0 126 -126 0 36 -9 0 ]",55,"+ - + 0 + - 0 + - 0 "
45380,"[ 1 -9 36 84 -126 126 -84 36 -9 0 ]",55,"+ - + + - + - + - 0 "
45542,"[ 1 -9 36 84 0 0 -84 36 -9 0 ]",55,"+ - + + 0 0 - + - 0 "
45704,"[ 1 -9 36 84 126 -126 -84 36 -9 0 ]",55,"+ - + + + - - + - 0 "
46391,"[ 1 0 -36 -84 0 126 84 -36 0 0 ]",55,"+ 0 - - 0 + + - 0 0 "
46553,"[ 1 0 -36 -84 126 0 84 -36 0 0 ]",55,"+ 0 - - + 0 + - 0 0 "
47093,"[ 1 0 -36 0 0 126 0 -36 0 0 ]",55,"+ 0 - 0 0 + 0 - 0 0 "
47255,"[ 1 0 -36 0 126 0 0 -36 0 0 ]",55,"+ 0 - 0 + 0 0 - 0 0 "
47795,"[ 1 0 -36 84 0 126 -84 -36 0 0 ]",55,"+ 0 - + 0 + - - 0 0 "
47957,"[ 1 0 -36 84 126 0 -84 -36 0 0 ]",55,"+ 0 - + + 0 - - 0 0 "
52949,"[ 1 9 -36 -84 0 126 84 -36 -9 0 ]",55,"+ + - - 0 + + - - 0 "
53111,"[ 1 9 -36 -84 126 0 84 -36 -9 0 ]",55,"+ + - - + 0 + - - 0 "
53651,"[ 1 9 -36 0 0 126 0 -36 -9 0 ]",55,"+ + - 0 0 + 0 - - 0 "
53813,"[ 1 9 -36 0 126 0 0 -36 -9 0 ]",55,"+ + - 0 + 0 0 - - 0 "
54353,"[ 1 9 -36 84 0 126 -84 -36 -9 0 ]",55,"+ + - + 0 + - - - 0 "
54515,"[ 1 9 -36 84 126 0 -84 -36 -9 0 ]",55,"+ + - + + 0 - - - 0 "
54917,"[ 1 9 0 -84 -126 126 84 36 9 0 ]",55,"+ + 0 - - + + + + 0 "
