Step,Sequence,Sum,Choices
4272,"[ -1 7 21 -35 35 0 -7 1 ]",21,"- + + - + 0 - + "
4326,"[ -1 7 21 35 -35 0 -7 1 ]",21,"- + + + - 0 - + "
4394,"[ 1 0 0 0 0 21 0 -1 ]",21,"+ 0 0 0 0 + 0 - "
4445,"[ 1 0 0 0 35 -21 7 -1 ]",21,"+ 0 0 0 + - + - "
4529,"[ 1 0 0 -35 35 21 0 -1 ]",21,"+ 0 0 - + + 0 - "
4553,"[ 1 0 0 35 0 -21 7 -1 ]",21,"+ 0 0 + 0 - + - "
4583,"[ 1 0 0 35 -35 21 0 -1 ]",21,"+ 0 0 + - + 0 - "
4679,"[ 1 0 -21 0 35 0 7 -1 ]",21,"+ 0 - 0 + 0 + - "
4787,"[ 1 0 -21 35 0 0 7 -1 ]",21,"+ 0 - + 0 0 + - "
4847,"[ 1 0 -21 35 35 -21 -7 -1 ]",21,"+ 0 - + + - - - "
4862,"[ 1 0 21 0 0 0 0 -1 ]",21,"+ 0 + 0 0 0 0 - "
4997,"[ 1 0 21 -35 35 0 0 -1 ]",21,"+ 0 + - + 0 0 - "
5051,"[ 1 0 21 35 -35 0 0 -1 ]",21,"+ 0 + + - 0 0 - "
5129,"[ 1 -7 0 0 0 21 7 -1 ]",21,"+ - 0 0 0 + + - "
5162,"[ 1 -7 0 0 35 0 -7 -1 ]",21,"+ - 0 0 + 0 - - "
5264,"[ 1 -7 0 -35 35 21 7 -1 ]",21,"+ - 0 - + + + - "
5270,"[ 1 -7 0 35 0 0 -7 -1 ]",21,"+ - 0 + 0 0 - - "
5318,"[ 1 -7 0 35 -35 21 7 -1 ]",21,"+ - 0 + - + + - "
5423,"[ 1 -7 -21 0 35 21 -7 -1 ]",21,"+ - - 0 + + - - "
5531,"[ 1 -7 -21 35 0 21 -7 -1 ]",21,"+ - - + 0 + - - "
5573,"[ 1 -7 -21 35 35 -21 0 -1 ]",21,"+ - - + + - 0 - "
5597,"[ 1 -7 21 0 0 0 7 -1 ]",21,"+ - + 0 0 0 + - "
5657,"[ 1 -7 21 0 35 -21 -7 -1 ]",21,"+ - + 0 + - - - "
5732,"[ 1 -7 21 -35 35 0 7 -1 ]",21,"+ - + - + 0 + - "
5765,"[ 1 -7 21 35 0 -21 -7 -1 ]",21,"+ - + + 0 - - - "
5786,"[ 1 -7 21 35 -35 0 7 -1 ]",21,"+ - + + - 0 + - "
5855,"[ 1 7 0 0 0 21 -7 -1 ]",21,"+ + 0 0 0 + - - "
5897,"[ 1 7 0 0 35 -21 0 -1 ]",21,"+ + 0 0 + - 0 - "
5990,"[ 1 7 0 -35 35 21 -7 -1 ]",21,"+ + 0 - + + - - "
6005,"[ 1 7 0 35 0 -21 0 -1 ]",21,"+ + 0 + 0 - 0 - "
6044,"[ 1 7 0 35 -35 21 -7 -1 ]",21,"+ + 0 + - + - - "
6131,"[ 1 7 -21 0 35 0 0 -1 ]",21,"+ + - 0 + 0 0 - "
6239,"[ 1 7 -21 35 0 0 0 -1 ]",21,"+ + - + 0 0 0 - "
6323,"[ 1 7 21 0 0 0 -7 -1 ]",21,"+ + + 0 0 0 - - "
6371,"[ 1 7 21 0 -35 21 7 -1 ]",21,"+ + + 0 - + + - "
6425,"[ 1 7 21 -35 0 21 7 -1 ]",21,"+ + + - 0 + + - "
6458,"[ 1 7 21 -35 35 0 -7 -1 ]",21,"+ + + - + 0 - - "
6512,"[ 1 7 21 35 -35 0 -7 -1 ]",21,"+ + + + - 0 - - "
