Step,Sequence,Sum,Choices
4475,"[ 0 0 -36 0 0 126 0 -36 0 1 ]",55,"0 0 - 0 0 + 0 - 0 + "
4637,"[ 0 0 -36 0 126 0 0 -36 0 1 ]",55,"0 0 - 0 + 0 0 - 0 + "
5258,"[ 0 0 -36 84 0 126 -84 -36 0 1 ]",55,"0 0 - + 0 + - - 0 + "
5420,"[ 0 0 -36 84 126 0 -84 -36 0 1 ]",55,"0 0 - + + 0 - - 0 + "
5960,"[ 0 0 -36 -84 0 126 84 -36 0 1 ]",55,"0 0 - - 0 + + - 0 + "
6122,"[ 0 0 -36 -84 126 0 84 -36 0 1 ]",55,"0 0 - - + 0 + - 0 + "
6575,"[ 0 9 0 0 0 0 0 36 9 1 ]",55,"0 + 0 0 0 0 0 + + + "
6980,"[ 0 9 0 0 126 -126 0 36 9 1 ]",55,"0 + 0 0 + - 0 + + + "
7142,"[ 0 9 0 0 -126 126 0 36 9 1 ]",55,"0 + 0 0 - + 0 + + + "
7358,"[ 0 9 0 84 0 0 -84 36 9 1 ]",55,"0 + 0 + 0 0 - + + + "
7763,"[ 0 9 0 84 126 -126 -84 36 9 1 ]",55,"0 + 0 + + - - + + + "
7925,"[ 0 9 0 84 -126 126 -84 36 9 1 ]",55,"0 + 0 + - + - + + + "
8060,"[ 0 9 0 -84 0 0 84 36 9 1 ]",55,"0 + 0 - 0 0 + + + + "
8465,"[ 0 9 0 -84 126 -126 84 36 9 1 ]",55,"0 + 0 - + - + + + + "
8627,"[ 0 9 0 -84 -126 126 84 36 9 1 ]",55,"0 + 0 - - + + + + + "
8753,"[ 0 9 36 0 0 0 0 0 9 1 ]",55,"0 + + 0 0 0 0 0 + + "
9158,"[ 0 9 36 0 126 -126 0 0 9 1 ]",55,"0 + + 0 + - 0 0 + + "
9320,"[ 0 9 36 0 -126 126 0 0 9 1 ]",55,"0 + + 0 - + 0 0 + + "
9536,"[ 0 9 36 84 0 0 -84 0 9 1 ]",55,"0 + + + 0 0 - 0 + + "
9941,"[ 0 9 36 84 126 -126 -84 0 9 1 ]",55,"0 + + + + - - 0 + + "
10103,"[ 0 9 36 84 -126 126 -84 0 9 1 ]",55,"0 + + + - + - 0 + + "
10238,"[ 0 9 36 -84 0 0 84 0 9 1 ]",55,"0 + + - 0 0 + 0 + + "
10643,"[ 0 9 36 -84 126 -126 84 0 9 1 ]",55,"0 + + - + - + 0 + + "
10805,"[ 0 9 36 -84 -126 126 84 0 9 1 ]",55,"0 + + - - + + 0 + + "
11042,"[ 0 9 -36 0 0 126 0 -36 -9 1 ]",55,"0 + - 0 0 + 0 - - + "
11204,"[ 0 9 -36 0 126 0 0 -36 -9 1 ]",55,"0 + - 0 + 0 0 - - + "
11825,"[ 0 9 -36 84 0 126 -84 -36 -9 1 ]",55,"0 + - + 0 + - - - + "
