Step,Sequence,Sum,Choices
116,"[ -1 -7 -21 35 35 -21 0 1 ]",21,"- - - + + - 0 + "
146,"[ -1 -7 -21 35 0 21 -7 1 ]",21,"- - - + 0 + - + "
200,"[ -1 -7 -21 0 35 21 -7 1 ]",21,"- - - 0 + + - + "
293,"[ -1 -7 21 -35 35 0 7 1 ]",21,"- - + - + 0 + + "
347,"[ -1 -7 21 35 -35 0 7 1 ]",21,"- - + + - 0 + + "
380,"[ -1 -7 21 35 0 -21 -7 1 ]",21,"- - + + 0 - - + "
434,"[ -1 -7 21 0 35 -21 -7 1 ]",21,"- - + 0 + - - + "
482,"[ -1 -7 21 0 0 0 7 1 ]",21,"- - + 0 0 0 + + "
527,"[ -1 -7 0 -35 35 21 7 1 ]",21,"- - 0 - + + + + "
581,"[ -1 -7 0 35 -35 21 7 1 ]",21,"- - 0 + - + + + "
641,"[ -1 -7 0 35 0 0 -7 1 ]",21,"- - 0 + 0 0 - + "
695,"[ -1 -7 0 0 35 0 -7 1 ]",21,"- - 0 0 + 0 - + "
716,"[ -1 -7 0 0 0 21 7 1 ]",21,"- - 0 0 0 + + + "
890,"[ -1 7 -21 35 0 0 0 1 ]",21,"- + - + 0 0 0 + "
944,"[ -1 7 -21 0 35 0 0 1 ]",21,"- + - 0 + 0 0 + "
1019,"[ -1 7 21 -35 35 0 -7 1 ]",21,"- + + - + 0 - + "
1040,"[ -1 7 21 -35 0 21 7 1 ]",21,"- + + - 0 + + + "
1073,"[ -1 7 21 35 -35 0 -7 1 ]",21,"- + + + - 0 - + "
1148,"[ -1 7 21 0 -35 21 7 1 ]",21,"- + + 0 - + + + "
1208,"[ -1 7 21 0 0 0 -7 1 ]",21,"- + + 0 0 0 - + "
1253,"[ -1 7 0 -35 35 21 -7 1 ]",21,"- + 0 - + + - + "
1307,"[ -1 7 0 35 -35 21 -7 1 ]",21,"- + 0 + - + - + "
1358,"[ -1 7 0 35 0 -21 0 1 ]",21,"- + 0 + 0 - 0 + "
1412,"[ -1 7 0 0 35 -21 0 1 ]",21,"- + 0 0 + - 0 + "
