Step,Sequence,Sum,Choices
129,"[ 1 9 36 84 126 -126 -84 0 9 0 ]",55,"+ + + + + - - 0 + 0 "
291,"[ 1 9 36 84 -126 126 -84 0 9 0 ]",55,"+ + + + - + - 0 + 0 "
696,"[ 1 9 36 84 0 0 -84 0 9 0 ]",55,"+ + + + 0 0 - 0 + 0 "
831,"[ 1 9 36 -84 126 -126 84 0 9 0 ]",55,"+ + + - + - + 0 + 0 "
993,"[ 1 9 36 -84 -126 126 84 0 9 0 ]",55,"+ + + - - + + 0 + 0 "
1398,"[ 1 9 36 -84 0 0 84 0 9 0 ]",55,"+ + + - 0 0 + 0 + 0 "
1614,"[ 1 9 36 0 126 -126 0 0 9 0 ]",55,"+ + + 0 + - 0 0 + 0 "
1776,"[ 1 9 36 0 -126 126 0 0 9 0 ]",55,"+ + + 0 - + 0 0 + 0 "
2181,"[ 1 9 36 0 0 0 0 0 9 0 ]",55,"+ + + 0 0 0 0 0 + 0 "
2391,"[ 1 9 -36 84 126 0 -84 -36 -9 0 ]",55,"+ + - + + 0 - - - 0 "
2715,"[ 1 9 -36 84 0 126 -84 -36 -9 0 ]",55,"+ + - + 0 + - - - 0 "
3093,"[ 1 9 -36 -84 126 0 84 -36 -9 0 ]",55,"+ + - - + 0 + - - 0 "
3417,"[ 1 9 -36 -84 0 126 84 -36 -9 0 ]",55,"+ + - - 0 + + - - 0 "
3876,"[ 1 9 -36 0 126 0 0 -36 -9 0 ]",55,"+ + - 0 + 0 0 - - 0 "
4200,"[ 1 9 -36 0 0 126 0 -36 -9 0 ]",55,"+ + - 0 0 + 0 - - 0 "
4485,"[ 1 9 0 84 126 -126 -84 36 9 0 ]",55,"+ + 0 + + - - + + 0 "
4647,"[ 1 9 0 84 -126 126 -84 36 9 0 ]",55,"+ + 0 + - + - + + 0 "
5052,"[ 1 9 0 84 0 0 -84 36 9 0 ]",55,"+ + 0 + 0 0 - + + 0 "
5187,"[ 1 9 0 -84 126 -126 84 36 9 0 ]",55,"+ + 0 - + - + + + 0 "
5349,"[ 1 9 0 -84 -126 126 84 36 9 0 ]",55,"+ + 0 - - + + + + 0 "
5754,"[ 1 9 0 -84 0 0 84 36 9 0 ]",55,"+ + 0 - 0 0 + + + 0 "
5970,"[ 1 9 0 0 126 -126 0 36 9 0 ]",55,"+ + 0 0 + - 0 + + 0 "
6132,"[ 1 9 0 0 -126 126 0 36 9 0 ]",55,"+ + 0 0 - + 0 + + 0 "
