Step,Sequence,Sum,Choices
66,"[ 1 6 15 0 -15 6 0 ]",13,"+ + + 0 - + 0 "
106,"[ 1 6 -15 20 0 0 1 ]",13,"+ + - + 0 0 + "
138,"[ 1 6 -15 0 15 6 0 ]",13,"+ + - 0 + + 0 "
178,"[ 1 6 0 20 -15 0 1 ]",13,"+ + 0 + - 0 + "
237,"[ 1 6 0 0 0 6 0 ]",13,"+ + 0 0 0 + 0 "
586,"[ 1 0 -15 20 0 6 1 ]",13,"+ 0 - + 0 + + "
658,"[ 1 0 0 20 -15 6 1 ]",13,"+ 0 0 + - + + "
806,"[ -1 6 15 0 0 -6 -1 ]",13,"- + + 0 0 - - "
950,"[ -1 6 0 0 15 -6 -1 ]",13,"- + 0 0 + - - "
990,"[ -1 -6 15 20 -15 0 0 ]",13,"- - + + - 0 0 "
1046,"[ -1 -6 15 0 0 6 -1 ]",13,"- - + 0 0 + - "
1062,"[ -1 -6 -15 20 15 0 0 ]",13,"- - - + + 0 0 "
1161,"[ -1 -6 0 20 0 0 0 ]",13,"- - 0 + 0 0 0 "
1190,"[ -1 -6 0 0 15 6 -1 ]",13,"- - 0 0 + + - "
1230,"[ -1 0 15 20 -15 -6 0 ]",13,"- 0 + + - - 0 "
1295,"[ -1 0 15 0 0 0 -1 ]",13,"- 0 + 0 0 0 - "
1302,"[ -1 0 -15 20 15 -6 0 ]",13,"- 0 - + + - 0 "
1401,"[ -1 0 0 20 0 -6 0 ]",13,"- 0 0 + 0 - 0 "
1439,"[ -1 0 0 0 15 0 -1 ]",13,"- 0 0 0 + 0 - "
1522,"[ 0 6 15 0 -15 6 1 ]",13,"0 + + 0 - + + "
1594,"[ 0 6 -15 0 15 6 1 ]",13,"0 + - 0 + + + "
1693,"[ 0 6 0 0 0 6 1 ]",13,"0 + 0 0 0 + + "
1718,"[ 0 -6 15 20 -15 0 -1 ]",13,"0 - + + - 0 - "
1790,"[ 0 -6 -15 20 15 0 -1 ]",13,"0 - - + + 0 - "
1889,"[ 0 -6 0 20 0 0 -1 ]",13,"0 - 0 + 0 0 - "
1958,"[ 0 0 15 20 -15 -6 -1 ]",13,"0 0 + + - - - "
2030,"[ 0 0 -15 20 15 -6 -1 ]",13,"0 0 - + + - - "
2129,"[ 0 0 0 20 0 -6 -1 ]",13,"0 0 0 + 0 - - "
