Step,Sequence,Sum,Choices
4303,"[ -1 0 0 0 35 -21 7 1 ]",21,"- 0 0 0 + - + + "
4354,"[ -1 0 0 0 0 21 0 1 ]",21,"- 0 0 0 0 + 0 + "
4425,"[ 0 7 21 35 -35 0 -7 0 ]",21,"0 + + + - 0 - 0 "
4479,"[ 0 7 21 -35 35 0 -7 0 ]",21,"0 + + - + 0 - 0 "
4512,"[ 0 7 21 -35 0 21 7 0 ]",21,"0 + + - 0 + + 0 "
4566,"[ 0 7 21 0 -35 21 7 0 ]",21,"0 + + 0 - + + 0 "
4614,"[ 0 7 21 0 0 0 -7 0 ]",21,"0 + + 0 0 0 - 0 "
4698,"[ 0 7 -21 35 0 0 0 0 ]",21,"0 + - + 0 0 0 0 "
4806,"[ 0 7 -21 0 35 0 0 0 ]",21,"0 + - 0 + 0 0 0 "
4893,"[ 0 7 0 35 -35 21 -7 0 ]",21,"0 + 0 + - + - 0 "
4932,"[ 0 7 0 35 0 -21 0 0 ]",21,"0 + 0 + 0 - 0 0 "
4947,"[ 0 7 0 -35 35 21 -7 0 ]",21,"0 + 0 - + + - 0 "
5040,"[ 0 7 0 0 35 -21 0 0 ]",21,"0 + 0 0 + - 0 0 "
5082,"[ 0 7 0 0 0 21 -7 0 ]",21,"0 + 0 0 0 + - 0 "
5151,"[ 0 -7 21 35 -35 0 7 0 ]",21,"0 - + + - 0 + 0 "
5172,"[ 0 -7 21 35 0 -21 -7 0 ]",21,"0 - + + 0 - - 0 "
5205,"[ 0 -7 21 -35 35 0 7 0 ]",21,"0 - + - + 0 + 0 "
5280,"[ 0 -7 21 0 35 -21 -7 0 ]",21,"0 - + 0 + - - 0 "
5340,"[ 0 -7 21 0 0 0 7 0 ]",21,"0 - + 0 0 0 + 0 "
5364,"[ 0 -7 -21 35 35 -21 0 0 ]",21,"0 - - + + - 0 0 "
5406,"[ 0 -7 -21 35 0 21 -7 0 ]",21,"0 - - + 0 + - 0 "
5514,"[ 0 -7 -21 0 35 21 -7 0 ]",21,"0 - - 0 + + - 0 "
5619,"[ 0 -7 0 35 -35 21 7 0 ]",21,"0 - 0 + - + + 0 "
5667,"[ 0 -7 0 35 0 0 -7 0 ]",21,"0 - 0 + 0 0 - 0 "
5673,"[ 0 -7 0 -35 35 21 7 0 ]",21,"0 - 0 - + + + 0 "
5775,"[ 0 -7 0 0 35 0 -7 0 ]",21,"0 - 0 0 + 0 - 0 "
5808,"[ 0 -7 0 0 0 21 7 0 ]",21,"0 - 0 0 0 + + 0 "
5886,"[ 0 0 21 35 -35 0 0 0 ]",21,"0 0 + + - 0 0 0 "
5940,"[ 0 0 21 -35 35 0 0 0 ]",21,"0 0 + - + 0 0 0 "
6075,"[ 0 0 21 0 0 0 0 0 ]",21,"0 0 + 0 0 0 0 0 "
6090,"[ 0 0 -21 35 35 -21 -7 0 ]",21,"0 0 - + + - - 0 "
6150,"[ 0 0 -21 35 0 0 7 0 ]",21,"0 0 - + 0 0 + 0 "
6258,"[ 0 0 -21 0 35 0 7 0 ]",21,"0 0 - 0 + 0 + 0 "
6354,"[ 0 0 0 35 -35 21 0 0 ]",21,"0 0 0 + - + 0 0 "
6384,"[ 0 0 0 35 0 -21 7 0 ]",21,"0 0 0 + 0 - + 0 "
6408,"[ 0 0 0 -35 35 21 0 0 ]",21,"0 0 0 - + + 0 0 "
6492,"[ 0 0 0 0 35 -21 7 0 ]",21,"0 0 0 0 + - + 0 "
6543,"[ 0 0 0 0 0 21 0 0 ]",21,"0 0 0 0 0 + 0 0 "
