Step,Sequence,Sum,Choices
231,"[ -1 -8 -28 -56 70 56 0 0 1 ]",34,"- - - - + + 0 0 + "
447,"[ -1 -8 -28 0 70 0 0 0 1 ]",34,"- - - 0 + 0 0 0 + "
564,"[ -1 -8 -28 56 -70 56 28 0 1 ]",34,"- - - + - + + 0 + "
663,"[ -1 -8 -28 56 70 -56 0 0 1 ]",34,"- - - + + - 0 0 + "
942,"[ -1 -8 0 -56 70 0 28 0 1 ]",34,"- - 0 - + 0 + 0 + "
951,"[ -1 -8 0 -56 70 56 -28 0 1 ]",34,"- - 0 - + + - 0 + "
1158,"[ -1 -8 0 0 70 -56 28 0 1 ]",34,"- - 0 0 + - + 0 + "
1167,"[ -1 -8 0 0 70 0 -28 0 1 ]",34,"- - 0 0 + 0 - 0 + "
1284,"[ -1 -8 0 56 -70 56 0 0 1 ]",34,"- - 0 + - + 0 0 + "
1383,"[ -1 -8 0 56 70 -56 -28 0 1 ]",34,"- - 0 + + - - 0 + "
1662,"[ -1 -8 28 -56 70 0 0 0 1 ]",34,"- - + - + 0 0 0 + "
1779,"[ -1 -8 28 0 -70 56 28 0 1 ]",34,"- - + 0 - + + 0 + "
1878,"[ -1 -8 28 0 70 -56 0 0 1 ]",34,"- - + 0 + - 0 0 + "
1995,"[ -1 -8 28 56 -70 0 28 0 1 ]",34,"- - + + - 0 + 0 + "
2004,"[ -1 -8 28 56 -70 56 -28 0 1 ]",34,"- - + + - + - 0 + "
2415,"[ -1 0 -28 -56 70 56 0 -8 1 ]",34,"- 0 - - + + 0 - + "
2581,"[ -1 0 -28 0 0 56 0 8 -1 ]",34,"- 0 - 0 0 + 0 + - "
2631,"[ -1 0 -28 0 70 0 0 -8 1 ]",34,"- 0 - 0 + 0 0 - + "
2748,"[ -1 0 -28 56 -70 56 28 -8 1 ]",34,"- 0 - + - + + - + "
2797,"[ -1 0 -28 56 0 0 0 8 -1 ]",34,"- 0 - + 0 0 0 + - "
2847,"[ -1 0 -28 56 70 -56 0 -8 1 ]",34,"- 0 - + + - 0 - + "
3076,"[ -1 0 0 -56 0 56 28 8 -1 ]",34,"- 0 0 - 0 + + + - "
3126,"[ -1 0 0 -56 70 0 28 -8 1 ]",34,"- 0 0 - + 0 + - + "
3135,"[ -1 0 0 -56 70 56 -28 -8 1 ]",34,"- 0 0 - + + - - + "
3292,"[ -1 0 0 0 0 0 28 8 -1 ]",34,"- 0 0 0 0 0 + + - "
3301,"[ -1 0 0 0 0 56 -28 8 -1 ]",34,"- 0 0 0 0 + - + - "
3342,"[ -1 0 0 0 70 -56 28 -8 1 ]",34,"- 0 0 0 + - + - + "
3351,"[ -1 0 0 0 70 0 -28 -8 1 ]",34,"- 0 0 0 + 0 - - + "
3468,"[ -1 0 0 56 -70 56 0 -8 1 ]",34,"- 0 0 + - + 0 - + "
3508,"[ -1 0 0 56 0 -56 28 8 -1 ]",34,"- 0 0 + 0 - + + - "
3517,"[ -1 0 0 56 0 0 -28 8 -1 ]",34,"- 0 0 + 0 0 - + - "
3567,"[ -1 0 0 56 70 -56 -28 -8 1 ]",34,"- 0 0 + + - - - + "
3796,"[ -1 0 28 -56 0 56 0 8 -1 ]",34,"- 0 + - 0 + 0 + - "
3846,"[ -1 0 28 -56 70 0 0 -8 1 ]",34,"- 0 + - + 0 0 - + "
3963,"[ -1 0 28 0 -70 56 28 -8 1 ]",34,"- 0 + 0 - + + - + "
4012,"[ -1 0 28 0 0 0 0 8 -1 ]",34,"- 0 + 0 0 0 0 + - "
4062,"[ -1 0 28 0 70 -56 0 -8 1 ]",34,"- 0 + 0 + - 0 - + "
4179,"[ -1 0 28 56 -70 0 28 -8 1 ]",34,"- 0 + + - 0 + - + "
4188,"[ -1 0 28 56 -70 56 -28 -8 1 ]",34,"- 0 + + - + - - + "
4228,"[ -1 0 28 56 0 -56 0 8 -1 ]",34,"- 0 + + 0 - 0 + - "
4765,"[ -1 8 -28 0 0 56 0 0 -1 ]",34,"- + - 0 0 + 0 0 - "
4981,"[ -1 8 -28 56 0 0 0 0 -1 ]",34,"- + - + 0 0 0 0 - "
5260,"[ -1 8 0 -56 0 56 28 0 -1 ]",34,"- + 0 - 0 + + 0 - "
5476,"[ -1 8 0 0 0 0 28 0 -1 ]",34,"- + 0 0 0 0 + 0 - "
5485,"[ -1 8 0 0 0 56 -28 0 -1 ]",34,"- + 0 0 0 + - 0 - "
5692,"[ -1 8 0 56 0 -56 28 0 -1 ]",34,"- + 0 + 0 - + 0 - "
5701,"[ -1 8 0 56 0 0 -28 0 -1 ]",34,"- + 0 + 0 0 - 0 - "
5980,"[ -1 8 28 -56 0 56 0 0 -1 ]",34,"- + + - 0 + 0 0 - "
6196,"[ -1 8 28 0 0 0 0 0 -1 ]",34,"- + + 0 0 0 0 0 - "
6412,"[ -1 8 28 56 0 -56 0 0 -1 ]",34,"- + + + 0 - 0 0 - "
