Step,Sequence,Sum,Choices
2361,"[ 0 0 -36 0 0 126 0 -36 0 1 ]",55,"0 0 - 0 0 + 0 - 0 + "
2685,"[ 0 0 -36 0 126 0 0 -36 0 1 ]",55,"0 0 - 0 + 0 0 - 0 + "
3144,"[ 0 0 -36 -84 0 126 84 -36 0 1 ]",55,"0 0 - - 0 + + - 0 + "
3468,"[ 0 0 -36 -84 126 0 84 -36 0 1 ]",55,"0 0 - - + 0 + - 0 + "
3846,"[ 0 0 -36 84 0 126 -84 -36 0 1 ]",55,"0 0 - + 0 + - - 0 + "
4170,"[ 0 0 -36 84 126 0 -84 -36 0 1 ]",55,"0 0 - + + 0 - - 0 + "
8928,"[ 0 -9 -36 0 0 126 0 -36 9 1 ]",55,"0 - - 0 0 + 0 - + + "
9252,"[ 0 -9 -36 0 126 0 0 -36 9 1 ]",55,"0 - - 0 + 0 0 - + + "
9711,"[ 0 -9 -36 -84 0 126 84 -36 9 1 ]",55,"0 - - - 0 + + - + + "
10035,"[ 0 -9 -36 -84 126 0 84 -36 9 1 ]",55,"0 - - - + 0 + - + + "
10413,"[ 0 -9 -36 84 0 126 -84 -36 9 1 ]",55,"0 - - + 0 + - - + + "
10737,"[ 0 -9 -36 84 126 0 -84 -36 9 1 ]",55,"0 - - + + 0 - - + + "
10959,"[ 0 -9 36 0 0 0 0 36 -9 1 ]",55,"0 - + 0 0 0 0 + - + "
11364,"[ 0 -9 36 0 -126 126 0 36 -9 1 ]",55,"0 - + 0 - + 0 + - + "
11526,"[ 0 -9 36 0 126 -126 0 36 -9 1 ]",55,"0 - + 0 + - 0 + - + "
11742,"[ 0 -9 36 -84 0 0 84 36 -9 1 ]",55,"0 - + - 0 0 + + - + "
12147,"[ 0 -9 36 -84 -126 126 84 36 -9 1 ]",55,"0 - + - - + + + - + "
12309,"[ 0 -9 36 -84 126 -126 84 36 -9 1 ]",55,"0 - + - + - + + - + "
12444,"[ 0 -9 36 84 0 0 -84 36 -9 1 ]",55,"0 - + + 0 0 - + - + "
12849,"[ 0 -9 36 84 -126 126 -84 36 -9 1 ]",55,"0 - + + - + - + - + "
