Step,Sequence,Sum,Choices
175,"[ 0 0 0 0 70 0 -28 -8 0 ]",34,"0 0 0 0 + 0 - - 0 "
211,"[ 0 0 0 0 70 -56 28 -8 0 ]",34,"0 0 0 0 + - + - 0 "
427,"[ 0 0 0 -56 70 0 28 -8 0 ]",34,"0 0 0 - + 0 + - 0 "
472,"[ 0 0 0 -56 70 56 -28 -8 0 ]",34,"0 0 0 - + + - - 0 "
625,"[ 0 0 0 56 -70 56 0 -8 0 ]",34,"0 0 0 + - + 0 - 0 "
688,"[ 0 0 0 56 70 -56 -28 -8 0 ]",34,"0 0 0 + + - - - 0 "
895,"[ 0 0 -28 0 70 0 0 -8 0 ]",34,"0 0 - 0 + 0 0 - 0 "
1192,"[ 0 0 -28 -56 70 56 0 -8 0 ]",34,"0 0 - - + + 0 - 0 "
1372,"[ 0 0 -28 56 -70 56 28 -8 0 ]",34,"0 0 - + - + + - 0 "
1408,"[ 0 0 -28 56 70 -56 0 -8 0 ]",34,"0 0 - + + - 0 - 0 "
1615,"[ 0 0 28 0 -70 56 28 -8 0 ]",34,"0 0 + 0 - + + - 0 "
1651,"[ 0 0 28 0 70 -56 0 -8 0 ]",34,"0 0 + 0 + - 0 - 0 "
1867,"[ 0 0 28 -56 70 0 0 -8 0 ]",34,"0 0 + - + 0 0 - 0 "
2047,"[ 0 0 28 56 -70 0 28 -8 0 ]",34,"0 0 + + - 0 + - 0 "
2092,"[ 0 0 28 56 -70 56 -28 -8 0 ]",34,"0 0 + + - + - - 0 "
2359,"[ 0 -8 0 0 70 0 -28 0 0 ]",34,"0 - 0 0 + 0 - 0 0 "
2395,"[ 0 -8 0 0 70 -56 28 0 0 ]",34,"0 - 0 0 + - + 0 0 "
2611,"[ 0 -8 0 -56 70 0 28 0 0 ]",34,"0 - 0 - + 0 + 0 0 "
2656,"[ 0 -8 0 -56 70 56 -28 0 0 ]",34,"0 - 0 - + + - 0 0 "
2809,"[ 0 -8 0 56 -70 56 0 0 0 ]",34,"0 - 0 + - + 0 0 0 "
