Step,Sequence,Sum,Choices
47,"[ 1 6 15 0 -15 6 0 ]",13,"+ + + 0 - + 0 "
103,"[ 1 6 0 20 -15 0 1 ]",13,"+ + 0 + - 0 + "
119,"[ 1 6 0 0 0 6 0 ]",13,"+ + 0 0 0 + 0 "
175,"[ 1 6 -15 20 0 0 1 ]",13,"+ + - + 0 0 + "
191,"[ 1 6 -15 0 15 6 0 ]",13,"+ + - 0 + + 0 "
343,"[ 1 0 0 20 -15 6 1 ]",13,"+ 0 0 + - + + "
415,"[ 1 0 -15 20 0 6 1 ]",13,"+ 0 - + 0 + + "
775,"[ 0 6 15 0 -15 6 1 ]",13,"0 + + 0 - + + "
847,"[ 0 6 0 0 0 6 1 ]",13,"0 + 0 0 0 + + "
919,"[ 0 6 -15 0 15 6 1 ]",13,"0 + - 0 + + + "
999,"[ 0 0 15 20 -15 -6 -1 ]",13,"0 0 + + - - - "
1071,"[ 0 0 0 20 0 -6 -1 ]",13,"0 0 0 + 0 - - "
1143,"[ 0 0 -15 20 15 -6 -1 ]",13,"0 0 - + + - - "
1239,"[ 0 -6 15 20 -15 0 -1 ]",13,"0 - + + - 0 - "
1311,"[ 0 -6 0 20 0 0 -1 ]",13,"0 - 0 + 0 0 - "
1383,"[ 0 -6 -15 20 15 0 -1 ]",13,"0 - - + + 0 - "
1503,"[ -1 6 15 0 0 -6 -1 ]",13,"- + + 0 0 - - "
1575,"[ -1 6 0 0 15 -6 -1 ]",13,"- + 0 0 + - - "
1727,"[ -1 0 15 20 -15 -6 0 ]",13,"- 0 + + - - 0 "
1743,"[ -1 0 15 0 0 0 -1 ]",13,"- 0 + 0 0 0 - "
1799,"[ -1 0 0 20 0 -6 0 ]",13,"- 0 0 + 0 - 0 "
1815,"[ -1 0 0 0 15 0 -1 ]",13,"- 0 0 0 + 0 - "
1871,"[ -1 0 -15 20 15 -6 0 ]",13,"- 0 - + + - 0 "
1967,"[ -1 -6 15 20 -15 0 0 ]",13,"- - + + - 0 0 "
1983,"[ -1 -6 15 0 0 6 -1 ]",13,"- - + 0 0 + - "
2039,"[ -1 -6 0 20 0 0 0 ]",13,"- - 0 + 0 0 0 "
2055,"[ -1 -6 0 0 15 6 -1 ]",13,"- - 0 0 + + - "
2111,"[ -1 -6 -15 20 15 0 0 ]",13,"- - - + + 0 0 "
