Step,Sequence,Sum,Choices
4052,"[ 0 -7 0 -35 35 21 7 0 ]",21,"0 - 0 - + + + 0 "
4154,"[ 0 -7 -21 35 35 -21 0 0 ]",21,"0 - - + + - 0 0 "
4166,"[ 0 -7 -21 35 0 21 -7 0 ]",21,"0 - - + 0 + - 0 "
4220,"[ 0 -7 -21 0 35 21 -7 0 ]",21,"0 - - 0 + + - 0 "
4444,"[ -1 7 21 35 -35 0 -7 1 ]",21,"- + + + - 0 - + "
4498,"[ -1 7 21 0 0 0 -7 1 ]",21,"- + + 0 0 0 - + "
4510,"[ -1 7 21 0 -35 21 7 1 ]",21,"- + + 0 - + + + "
4552,"[ -1 7 21 -35 35 0 -7 1 ]",21,"- + + - + 0 - + "
4564,"[ -1 7 21 -35 0 21 7 1 ]",21,"- + + - 0 + + + "
4666,"[ -1 7 0 35 0 -21 0 1 ]",21,"- + 0 + 0 - 0 + "
4678,"[ -1 7 0 35 -35 21 -7 1 ]",21,"- + 0 + - + - + "
4720,"[ -1 7 0 0 35 -21 0 1 ]",21,"- + 0 0 + - 0 + "
4732,"[ -1 7 0 0 0 21 -7 1 ]",21,"- + 0 0 0 + - + "
4786,"[ -1 7 0 -35 35 21 -7 1 ]",21,"- + 0 - + + - + "
4900,"[ -1 7 -21 35 0 0 0 1 ]",21,"- + - + 0 0 0 + "
4954,"[ -1 7 -21 0 35 0 0 1 ]",21,"- + - 0 + 0 0 + "
5170,"[ -1 0 21 35 -35 0 0 1 ]",21,"- 0 + + - 0 0 + "
5224,"[ -1 0 21 0 0 0 0 1 ]",21,"- 0 + 0 0 0 0 + "
5278,"[ -1 0 21 -35 35 0 0 1 ]",21,"- 0 + - + 0 0 + "
5392,"[ -1 0 0 35 0 -21 7 1 ]",21,"- 0 0 + 0 - + + "
5404,"[ -1 0 0 35 -35 21 0 1 ]",21,"- 0 0 + - + 0 + "
5446,"[ -1 0 0 0 35 -21 7 1 ]",21,"- 0 0 0 + - + + "
5458,"[ -1 0 0 0 0 21 0 1 ]",21,"- 0 0 0 0 + 0 + "
5512,"[ -1 0 0 -35 35 21 0 1 ]",21,"- 0 0 - + + 0 + "
5614,"[ -1 0 -21 35 35 -21 -7 1 ]",21,"- 0 - + + - - + "
5626,"[ -1 0 -21 35 0 0 7 1 ]",21,"- 0 - + 0 0 + + "
5680,"[ -1 0 -21 0 35 0 7 1 ]",21,"- 0 - 0 + 0 + + "
5884,"[ -1 -7 21 35 0 -21 -7 1 ]",21,"- - + + 0 - - + "
5896,"[ -1 -7 21 35 -35 0 7 1 ]",21,"- - + + - 0 + + "
5938,"[ -1 -7 21 0 35 -21 -7 1 ]",21,"- - + 0 + - - + "
5950,"[ -1 -7 21 0 0 0 7 1 ]",21,"- - + 0 0 0 + + "
6004,"[ -1 -7 21 -35 35 0 7 1 ]",21,"- - + - + 0 + + "
6118,"[ -1 -7 0 35 0 0 -7 1 ]",21,"- - 0 + 0 0 - + "
6130,"[ -1 -7 0 35 -35 21 7 1 ]",21,"- - 0 + - + + + "
6172,"[ -1 -7 0 0 35 0 -7 1 ]",21,"- - 0 0 + 0 - + "
6184,"[ -1 -7 0 0 0 21 7 1 ]",21,"- - 0 0 0 + + + "
6238,"[ -1 -7 0 -35 35 21 7 1 ]",21,"- - 0 - + + + + "
6340,"[ -1 -7 -21 35 35 -21 0 1 ]",21,"- - - + + - 0 + "
6352,"[ -1 -7 -21 35 0 21 -7 1 ]",21,"- - - + 0 + - + "
6406,"[ -1 -7 -21 0 35 21 -7 1 ]",21,"- - - 0 + + - + "
