Step,Sequence,Sum,Choices
49347,"[ -1 0 45 120 210 0 -210 -120 45 0 0 ]",89,"- 0 + + + 0 - - + 0 0 "
50238,"[ -1 0 45 120 0 0 0 -120 45 0 0 ]",89,"- 0 + + 0 0 0 - + 0 0 "
50940,"[ -1 0 45 0 -210 0 210 0 45 0 0 ]",89,"- 0 + 0 - 0 + 0 + 0 0 "
51588,"[ -1 0 45 0 210 0 -210 0 45 0 0 ]",89,"- 0 + 0 + 0 - 0 + 0 0 "
51687,"[ -1 0 45 0 210 0 0 -120 -45 0 0 ]",89,"- 0 + 0 + 0 0 - - 0 0 "
52335,"[ -1 0 45 0 0 0 210 -120 -45 0 0 ]",89,"- 0 + 0 0 0 + - - 0 0 "
52479,"[ -1 0 45 0 0 0 0 0 45 0 0 ]",89,"- 0 + 0 0 0 0 0 + 0 0 "
53946,"[ -1 0 0 -120 210 0 0 0 0 0 0 ]",89,"- 0 0 - + 0 0 0 0 0 0 "
54594,"[ -1 0 0 -120 0 0 210 0 0 0 0 ]",89,"- 0 0 - 0 0 + 0 0 0 0 "
58266,"[ -1 0 0 0 210 0 0 -120 0 0 0 ]",89,"- 0 0 0 + 0 0 - 0 0 0 "
58914,"[ -1 0 0 0 0 0 210 -120 0 0 0 ]",89,"- 0 0 0 0 0 + - 0 0 0 "
59450,"[ 1 -10 -45 -120 -210 252 210 0 0 10 1 ]",89,"+ - - - - + + 0 0 + + "
60098,"[ 1 -10 -45 -120 210 252 -210 0 0 10 1 ]",89,"+ - - - + + - 0 0 + + "
60989,"[ 1 -10 -45 -120 0 252 0 0 0 10 1 ]",89,"+ - - - 0 + 0 0 0 + + "
62157,"[ 1 -10 -45 120 210 -252 0 120 -45 -10 0 ]",89,"+ - - + + - 0 + - - 0 "
62805,"[ 1 -10 -45 120 0 -252 210 120 -45 -10 0 ]",89,"+ - - + 0 - + + - - 0 "
63770,"[ 1 -10 -45 0 -210 252 210 -120 0 10 1 ]",89,"+ - - 0 - + + - 0 + + "
64418,"[ 1 -10 -45 0 210 252 -210 -120 0 10 1 ]",89,"+ - - 0 + + - - 0 + + "
65309,"[ 1 -10 -45 0 0 252 0 -120 0 10 1 ]",89,"+ - - 0 0 + 0 - 0 + + "
66065,"[ 1 -10 45 -120 -210 252 0 120 0 10 1 ]",89,"+ - + - - + 0 + 0 + + "
67361,"[ 1 -10 45 -120 0 252 -210 120 0 10 1 ]",89,"+ - + - 0 + - + 0 + + "
68225,"[ 1 -10 45 120 -210 252 0 -120 0 10 1 ]",89,"+ - + + - + 0 - 0 + + "
69521,"[ 1 -10 45 120 0 252 -210 -120 0 10 1 ]",89,"+ - + + 0 + - - 0 + + "
70466,"[ 1 -10 45 0 -210 252 0 0 0 10 1 ]",89,"+ - + 0 - + 0 0 0 + + "
71762,"[ 1 -10 45 0 0 252 -210 0 0 10 1 ]",89,"+ - + 0 0 + - 0 0 + + "
72554,"[ 1 -10 0 -120 -210 252 210 0 -45 10 1 ]",89,"+ - 0 - - + + 0 - + + "
72617,"[ 1 -10 0 -120 -210 252 0 120 45 10 1 ]",89,"+ - 0 - - + 0 + + + + "
73202,"[ 1 -10 0 -120 210 252 -210 0 -45 10 1 ]",89,"+ - 0 - + + - 0 - + + "
73913,"[ 1 -10 0 -120 0 252 -210 120 45 10 1 ]",89,"+ - 0 - 0 + - + + + + "
74093,"[ 1 -10 0 -120 0 252 0 0 -45 10 1 ]",89,"+ - 0 - 0 + 0 0 - + + "
74777,"[ 1 -10 0 120 -210 252 0 -120 45 10 1 ]",89,"+ - 0 + - + 0 - + + + "
76073,"[ 1 -10 0 120 0 252 -210 -120 45 10 1 ]",89,"+ - 0 + 0 + - - + + + "
76874,"[ 1 -10 0 0 -210 252 210 -120 -45 10 1 ]",89,"+ - 0 0 - + + - - + + "
