Step,Sequence,Sum,Choices
13704,"[ -1 8 28 -56 0 56 0 0 -1 ]",34,"- + + - 0 + 0 0 - "
13983,"[ -1 8 0 56 0 0 -28 0 -1 ]",34,"- + 0 + 0 0 - 0 - "
13992,"[ -1 8 0 56 0 -56 28 0 -1 ]",34,"- + 0 + 0 - + 0 - "
14199,"[ -1 8 0 0 0 56 -28 0 -1 ]",34,"- + 0 0 0 + - 0 - "
14208,"[ -1 8 0 0 0 0 28 0 -1 ]",34,"- + 0 0 0 0 + 0 - "
14424,"[ -1 8 0 -56 0 56 28 0 -1 ]",34,"- + 0 - 0 + + 0 - "
14703,"[ -1 8 -28 56 0 0 0 0 -1 ]",34,"- + - + 0 0 0 0 - "
14919,"[ -1 8 -28 0 0 56 0 0 -1 ]",34,"- + - 0 0 + 0 0 - "
15456,"[ -1 0 28 56 0 -56 0 8 -1 ]",34,"- 0 + + 0 - 0 + - "
15496,"[ -1 0 28 56 -70 56 -28 -8 1 ]",34,"- 0 + + - + - - + "
15505,"[ -1 0 28 56 -70 0 28 -8 1 ]",34,"- 0 + + - 0 + - + "
15622,"[ -1 0 28 0 70 -56 0 -8 1 ]",34,"- 0 + 0 + - 0 - + "
15672,"[ -1 0 28 0 0 0 0 8 -1 ]",34,"- 0 + 0 0 0 0 + - "
15721,"[ -1 0 28 0 -70 56 28 -8 1 ]",34,"- 0 + 0 - + + - + "
15838,"[ -1 0 28 -56 70 0 0 -8 1 ]",34,"- 0 + - + 0 0 - + "
15888,"[ -1 0 28 -56 0 56 0 8 -1 ]",34,"- 0 + - 0 + 0 + - "
16117,"[ -1 0 0 56 70 -56 -28 -8 1 ]",34,"- 0 0 + + - - - + "
16167,"[ -1 0 0 56 0 0 -28 8 -1 ]",34,"- 0 0 + 0 0 - + - "
16176,"[ -1 0 0 56 0 -56 28 8 -1 ]",34,"- 0 0 + 0 - + + - "
16216,"[ -1 0 0 56 -70 56 0 -8 1 ]",34,"- 0 0 + - + 0 - + "
16333,"[ -1 0 0 0 70 0 -28 -8 1 ]",34,"- 0 0 0 + 0 - - + "
16342,"[ -1 0 0 0 70 -56 28 -8 1 ]",34,"- 0 0 0 + - + - + "
16383,"[ -1 0 0 0 0 56 -28 8 -1 ]",34,"- 0 0 0 0 + - + - "
16392,"[ -1 0 0 0 0 0 28 8 -1 ]",34,"- 0 0 0 0 0 + + - "
16549,"[ -1 0 0 -56 70 56 -28 -8 1 ]",34,"- 0 0 - + + - - + "
16558,"[ -1 0 0 -56 70 0 28 -8 1 ]",34,"- 0 0 - + 0 + - + "
16608,"[ -1 0 0 -56 0 56 28 8 -1 ]",34,"- 0 0 - 0 + + + - "
16837,"[ -1 0 -28 56 70 -56 0 -8 1 ]",34,"- 0 - + + - 0 - + "
16887,"[ -1 0 -28 56 0 0 0 8 -1 ]",34,"- 0 - + 0 0 0 + - "
16936,"[ -1 0 -28 56 -70 56 28 -8 1 ]",34,"- 0 - + - + + - + "
17053,"[ -1 0 -28 0 70 0 0 -8 1 ]",34,"- 0 - 0 + 0 0 - + "
17103,"[ -1 0 -28 0 0 56 0 8 -1 ]",34,"- 0 - 0 0 + 0 + - "
17269,"[ -1 0 -28 -56 70 56 0 -8 1 ]",34,"- 0 - - + + 0 - + "
17680,"[ -1 -8 28 56 -70 56 -28 0 1 ]",34,"- - + + - + - 0 + "
17689,"[ -1 -8 28 56 -70 0 28 0 1 ]",34,"- - + + - 0 + 0 + "
17806,"[ -1 -8 28 0 70 -56 0 0 1 ]",34,"- - + 0 + - 0 0 + "
17905,"[ -1 -8 28 0 -70 56 28 0 1 ]",34,"- - + 0 - + + 0 + "
18022,"[ -1 -8 28 -56 70 0 0 0 1 ]",34,"- - + - + 0 0 0 + "
18301,"[ -1 -8 0 56 70 -56 -28 0 1 ]",34,"- - 0 + + - - 0 + "
18400,"[ -1 -8 0 56 -70 56 0 0 1 ]",34,"- - 0 + - + 0 0 + "
18517,"[ -1 -8 0 0 70 0 -28 0 1 ]",34,"- - 0 0 + 0 - 0 + "
18526,"[ -1 -8 0 0 70 -56 28 0 1 ]",34,"- - 0 0 + - + 0 + "
18733,"[ -1 -8 0 -56 70 56 -28 0 1 ]",34,"- - 0 - + + - 0 + "
18742,"[ -1 -8 0 -56 70 0 28 0 1 ]",34,"- - 0 - + 0 + 0 + "
19021,"[ -1 -8 -28 56 70 -56 0 0 1 ]",34,"- - - + + - 0 0 + "
19120,"[ -1 -8 -28 56 -70 56 28 0 1 ]",34,"- - - + - + + 0 + "
19237,"[ -1 -8 -28 0 70 0 0 0 1 ]",34,"- - - 0 + 0 0 0 + "
19453,"[ -1 -8 -28 -56 70 56 0 0 1 ]",34,"- - - - + + 0 0 + "
